Michmas	默瑪
Nephtoah	尼弗多亞
Nineveh	尼尼微
Nicopolis	尼哥坡里
Neballat	尼八拉
Netaim	尼他應
Neapolis	尼亞波利
Neah	尼亞
Zin	尋
Broad Wall	寬牆
Nimrim	寧林
Nimrah	寧拉
Shilhim	實忻
Michmethath	密米他
Michmash	密抹
Migdol	密奪
Middin	密丁
Gethsemane	客西馬尼
Humtah	宏他
Antioch	安提阿
Antipatris	安提帕底
On	安城
Gur	姑珥
Damascus	大馬色
Dalmanutha	大瑪努他
Daberath	大比拉
Tarsus	大數
Dannah	大拿
Naphoth-dor	多珥山岡
Dor	多珥
Dothan	多坍
Rodanim	多單
Ptolema'is	多利買
Harosheth	夏羅設
Hazor	夏瑣
Smyrna	士每拿
Cenchreae	堅革哩
Gidom	基頓
River Kishon	基順河
Chephirah	基非拉
Chios	基阿
Kedar	基達
Gibeon	基遍
Geshur	基述
Gihon	基訓
Gezer	基色
Giloh	基羅
Cherub	基綠
Kenath	基納
Cherith	基立
Gedor	基突
Kir	基珥
Gibbethon	基比頓
Gibeah	基比亞
Gebim	基柄
Chesalon	基撒崙
Chitlish	基提利
Kittim	基提
Kinah	基拿
Gerar	基拉耳
Chilmad	基抹
Chezib	基悉
Geder	基德
Kedemoth	基底莫
Gederothaim	基底羅他音
Gederah	基底拉
Chinneroth	基尼烈
Kain	基尼
Kishion	基善
Geliloth	基利綠
Gilboa	基利波
mount Gerizim	基利心山
Cilicia	基利家
Kiriatharim	基列耶琳
Kirjathaim	基列亭
Gilead	基列
Gederoth	基低羅
Kedesh	基低斯
Kibzaim	基伯先
Keilah	基伊拉
Gittaim	基他音
Giah	基亞
Esek	埃色
Egyptian sea	埃及海
river of Egypt	埃及小河
Egypt	埃及
Cun	均
Tubal	土巴
Beth-haggan	園亭之路
Shen	善
Cozeba	哥西巴
Golan	哥蘭
Corinth	哥林多
Chorazin	哥拉汛
Coos	哥士
Koa	哥亞
Ham	哈麥
Hamath	哈馬
Harmon	哈門
Haran	哈蘭
Hazarsusah	哈薩蘇撒
Halah	哈臘
Havilah	哈腓拉
Armageddon	哈米吉多頓
Hadid	哈第
Hazeroth	哈洗錄
tower of Hananel	哈楠業樓
Hammath	哈末
Hamonah	哈摩那
mount Halak	哈拉山
Halhul	哈忽
Harod	哈律
Hapharaim	哈弗連
Hadashah	哈大沙
Hachilah	哈基拉
Habor	哈博
Hali	哈利
Hereth	哈列
Hanes	哈內斯
Hammon	哈們
Vaheb	哇哈伯
Aenon	哀嫩
Horem	和璉
Lycaonia	呂高尼
Libya	呂彼亞
Lycia	呂家
Lydda	呂大
Ur	吾珥
Ham	含
Gilgal	吉甲
Kir	吉珥
Golgotha	各各他
Cushan	古珊
Cush	古實
Cyrene	古利奈
Cuth	古他
Gab'batha	厄巴大
Kerioth	加略
Kanah	加拿
Galatia	加拉太
Cappadocia	加帕多家
Gadara	加大拉
Karkor	加各
Sea of Galilee	加利利海
Galilee	加利利
Kadesh	加低斯
Kattath	加他
Betheked	剪羊毛之處
Resen	利鮮
Rephidim	利非訂
Recah	利迦
Rezeph	利色
Lebonah	利波拿
Rehoboth-Ir	利河伯
Riblah	利比拉
Rithmah	利提瑪
Lehi	利希
Lebanon	利巴嫩
Lebaoth	利巴勿
Rekem	利堅
Rhegium	利基翁
Leshem	利善
Lehabim	利哈比
Rehob	利合
the valley of Rephaim	利乏音谷
Pergamum	別迦摩
Beersheba	別是巴
Perga	別加
Caesarea	凱撒利亞
Zer	側耳
Ophel	俄斐勒
Ophir	俄斐
Ophrah	俄弗拉
Ophni	俄弗尼
Benjamin Gate	便雅憫門
Fair Havens	佳澳
Hosah	何薩
Horonaim	何羅念
Hormah	何珥瑪
Mount Hor	何珥山
Horeb	何烈
Hobah	何把
Holon	何倫
Decapolis	低加坡里
Dan	但
Shimron	伸崙
Beth-gamul	伯迦末
Bethsaida	伯賽大
Bethcar	伯甲
Bethel	伯特利
Bethphage	伯法其
Euphrates	伯拉
Beth-pazzez	伯帕薛
Beth-nimrah	伯寧拉
Bethany	伯大尼
Bethshean	伯善
Bethlehem	伯利恆
Jehud	伊胡得
Eglon	伊磯倫
Ithlah	伊提拉
Enaim	伊拿印
Eltekon	伊勒提君
Irpeel	伊利毘勒
Eltekeh	伊利提基
Emmaus	以馬忤斯
Ekron	以革倫
Ijon	以雲
Israel	以色列
Eloth	以祿
Ivvah	以瓦
Elim	以琳
Eshan	以珊
gate of Ephraim	以法蓮門
Ephraim	以法蓮
Ephrath	以法他
Ephah	以法
Enam	以楠
Ezem	以森
Edom	以東
Elam	以攔
Ithnan	以提楠
mount of Esau	以掃山
valley of Elah	以拉谷
Ellasar	以拉撒
Elath	以拉他
Edrei	以得來
Eder	以得
Ephesus	以弗所
Ephron	以弗崙
Ether	以帖
mount Ebal	以巴路山
Eshtaol	以實陶
Eshtemoa	以實提莫
Valley of Eshcol	以實各谷
Idalah	以大拉
Eglaim	以基蓮
Etam	以坦
Idumaea	以土買
Iturae'a	以土利亞
Iconium	以哥念
Erech	以力
Yiron	以利穩
Elishah	以利沙島
