SERAIAH	西萊雅
IPHEDEJAH	伊弗底雅
IDBASH	伊得巴
ETHNAN	伊提南
JEZLIAH	伊斯利亞
IZRAHIAH	伊斯拉希
JEZRAHIAH	伊斯拉希雅
EZBAI	伊斯拜
ISMACHIAH	伊斯瑪基雅
ISHMAIAH	伊斯瑪雅
ESHTON	伊施屯
ISHBAK	伊施巴
ISPAH	伊施巴
ESH-BAAL	伊施巴力
ISHBOSHETH	伊施波設
ISHPAN	伊施班
ISHMA	伊施瑪
ISHMERAI	伊施米萊
ISHOD	伊施荷
ESHBAN	伊是班
IBNEJAH	伊比尼雅
IZRI	伊洗利
ETHNI	伊特尼
ITHMAH	伊特瑪
EDEN	伊甸
EGLON	伊磯倫
ISHIJAH	伊示雅
ISHIAH	伊示雅
JETUR	伊突
BETH-LEHEM	伯利恒
BETH-RAPHA	伯拉巴
BLASTUS	伯拉斯都
BELTSHAZZAR	伯提沙撒
BELSHAZZAR	伯沙撒
PROCHORUS	伯羅哥羅
BETH-GADER	伯迦得
SHIMRON	伸崙
SHIMSHAI	伸帥
DAN	但
DANIEL	但以利
DANIEL	但以理
DIDYMUS	低土馬
DIPHATH	低法
DEMETRIUS	低米丟
HORI	何利
HOTHAM	何坦
HODAIAH	何大雅
HOHAM	何威
HOBAB	何巴
HOPHNI	何弗尼
HOTHIR	何提
HOSHAMA	何沙瑪
HOSHAIAH	何沙雅
HOSHEA	何細亞
HOSAH	何薩
HOSHEA	何西阿
HOSAI	何賽
HODEVAH	何達威
HODAVIAH	何達威雅
JAMBRES	佯庇
IBRI	使比利
BEN	便
BEN-ABINADAB	便亞比拿達
BEN-AMMI	便亞米
BEN-HAIL	便亥伊勒
BEN-ONI	便俄尼
BEN-HANAN	便哈南
BEN-HADAD	便哈達
BEN-GEBER	便基別
BEN-HESED	便希悉
BEN-DEKAR	便底甲
BEN-HUR	便戶珥
BEN-ZOHETH	便梭黑
BENJAMIN	便雅憫
OBED	俄備得
OBED-EDOM	俄別以東
ONAN	俄南
PBADIAH	俄巴底
OBADIAH	俄巴底亞
OBADIAH	俄巴底雅
OBADIAH	俄巴第雅
OBAL	俄巴路
OPHRAH	俄弗拉
OTHNI	俄得尼
ODAD	俄德
ORPAH	俄珥巴
OREB	俄立
OCRAN	俄蘭
OTHNIEL	俄陀聶
PAUL	保羅
BEERI	備利
BEERAH	備拉
BAKBUKIAH	八布迦
PATROBOS	八羅巴
LEAH	利亞
REAIAH	利亞雅
REI	利以
REELAIAH	利來雅
REGEM	利健
LIKHI	利克希
REHOB	利合
LEHABIM	利哈比
rehabiah	利哈比雅
regem-melech	利堅米勒
LINUS	利奴
REHUM	利宏
REZIA	利寫
REBA	利巴
LEBBAEUS	利巴
LEBANAH	利巴拿
RESHEPH	利悉
lemuel	利慕伊勒
RIBAI	利拜
RHESA	利撤
RIZPAH	利斯巴
LEVI	利未
REZIN	利汎
RIPHATH	利法
REPHAH	利法
REPHAEL	利法益
REPHAIAH	利法雅
LEUMMIM	利烏米
REMALIAH	利瑪利
RECHAB	利甲
REBECCA OR REBEKAH	利百加
REKEM	利肯
RECHAH	利迦
LECAH	利迦
REZON	利遜
letushim	利都是
REKEM	利金
RAKEM	利金
CAREAH	加利亞
CARPUS	加布
KALLAI	加萊
BOANERGES	半尼其
HEPHZIBAH	協西巴
SAMSON	參孫
SANBALLAT	參巴拉
EUNlCE	友尼基
EUBULUS	友布羅
EUODIAS	友阿爹
CYRUS	古列
CUSH	古實
GUNI	古尼
KUSHAIAH	古沙雅
CHUSHAN-RISHATHAIM	古珊利薩田
CUSHI	古示
KORE	可利
KORAH	可拉
STEPHEN	司提反
STEPHANAS	司提反
COL-HOZEH	各荷西
PHARAOH-HOPHRA	合弗拉
GIDDEL	吉德
GIBBAR	吉罷珥
ham	含
ur	吾珥
lydia	呂底亞
lysanias	呂撒聶
lysias	呂西亞
HATACH	哈他革
HAKKTAN	哈加坦
HAREPH	哈勒
HAGGITH	哈及
HAKUPHA	哈古巴
HAKKOZ	哈哥斯
HAGGI	哈基
HAGGERI	哈基利
HAGGIAH	哈基雅
HATHATH	哈塔
HADORAM	哈多蘭
HADAR	哈大
HADAREZER	哈大利謝
HADADEZER	哈大底謝
HADOSSAH	哈大沙
HANUN	哈嫩
HARNEPHER	哈尼弗
HARUM	哈崙
HABAZINIAH	哈巴洗泥雅
HABAKKUK	哈巴谷
HABAIAH	哈巴雅
HATITA	哈底大
HADLAI	哈得萊
HARHUR	哈忽
HAZELELPONI	哈悉勒玻尼
HAMUTAL	哈慕他
HAMOR	哈抹
HARIPH	哈拉
HASHBADANA	哈拔大拿
HANNAH	哈拿
HANANI	哈拿尼
HANANIAH	哈拿尼亞
HANANIAH	哈拿尼雅
HANANIAH	哈拿蔑
HATIPHA	哈提法
HAMMOLEKETH	哈摩利吉
HASADIAH	哈撒底
HASRAH	哈斯拉
HAMAN	哈曼
HATTIL	哈替
HEMATH	哈末
HAKKOZ	哈歇斯
HAMUEL	哈母利
HAMUL	哈母勒
HARSHA	哈沙
HASHABNIAH	哈沙尼
HASHABNAH	哈沙拿
HASHABIAH	哈沙比雅
HARBONA	哈波拿
HARHAIAH	哈海雅
HASHEM	哈深
HARHAS	哈珥哈斯
HARIM	哈琳
HAZO	哈瑣
HAGAB	哈甲
HATTUSH	哈突
HAMMELECH	哈米勒
HAMMEDATHA	哈米大他
HAROEH	哈羅以
HALOHESH	哈羅黑
HAVILAH	哈腓拉
HASHUBAH	哈舒巴
HAZIEL	哈薛
HAZAEL	哈薛
HAZARMAVETH	哈薩瑪非
HASUPHA	哈蘇巴
HARAN	哈蘭
HASENUAH	哈西努
SENUAH	哈西努亞
HASSENAAH	哈西拿
HAGGAI	哈該
HANOCH	哈諾
HAKUPHA	哈谷巴
HAZAIAH	哈賽雅
HARUMAPH	哈路抹
HAAHASHTARI	哈轄斯他利
HACHALIAH	哈迦利亞
HAGABA	哈迦巴
HASHUB	哈述
HADAD	哈達
HAPPIZZEZ	哈闢悉
HANAN	哈難
HACHMONI	哈革摩尼
HASHUM	哈順
HARUZ	哈魯斯
CORNELIUS	哥尼流
CONIAH	哥尼雅
COZ	哥斯
COZBI	哥斯比
COSAM	哥桑
KOLAIAH	哥賴雅
KOHATH	哥轄
SHEMEBER	善以別
RAHAB	喇合
TANHUMETH	單戶蔑
OG	噩
TUBALO	土 巴
TUBALCAIN	土八該隱
TRYPHOSA	土富撒
DRUSLLA	土西拉
TRYPHENA	土非拿
KEILAH	基伊拉
GILEAD	基列
GEBER	基別
KELITA	基利他
CRISPUS	基利司布
CHILEAB	基利押
GENUBATH	基努拔
GEHAZI	基哈西
GESHEM	基善
KETURAH	基土拉
KISH	基士
GEDOR	基多
GIDEONI	基多尼
GEDALIAH	基大利
GIDDALTI	基大利提
CHEDORLAOMER	基大老瑪
GETHER	基帖
KEDEMAH	基底瑪
GERA	基拉
CHELAL	基拉
GILALAI	基拉萊
KELAIAH	基拉雅
CHENANI	基拿尼
CHENANIAH	基拿尼雅
CHENAANAH	基拿拿
KITTIM	基提
CHISLON	基斯倫
GISPA	基斯帕
GIDEON	基旬
KEMUEL	基母利
GIBEA	基比亞
KEZIA	基洗亞
GESHAM	基珊
GEMALLI	基瑪利
GEMARIAH	基瑪利雅
KISHI	基示
GINATH	基納
KENAZ	基納斯
KEROS	基綠
CHELUB	基綠
CHESED	基薛
CHERAN	基蘭
CHELUBAI	基路拜
CHILION	基連
KEREN-HAPPUCH	基連哈樸
KEDAR	基達
SETH	塞特
BILGAI	壁該
SCEVA	士基瓦
SERGIUS PAULU	士求保羅
SHIMON	士門
EVE	夏娃
HAGAR	夏甲
DORCAS	多加
DODANIM	多單
DODAVAH	多大瓦
TOBIAH	多比雅
TOBIJAH	多比雅
DOEG	多益
THOMAS	多馬
DELILAH	大利拉
DARIUS	大利烏
DATHAN	大坍
DARA	大拉
TABITHA	大比大
DAVID	大衛
DAMARIS	大馬哩
NUN	嫩
ON	安
ANDRONICUS	安多尼古
ANDREW	安得烈
ANTIPAS	安提帕
ANTOHIJAH	安陀提雅
MIKLOTH	密基羅
MILCAH	密迦
NYMPHAS	寧法
NIMSHI	寧示
NIMROD	寧錄
NEBAT	尼八
NERI	尼利
NEREUS	尼利亞
NERIAH	尼利亞
NEARIAH	尼利雅
NECHO	尼哥
NEKODA	尼哥大
NICODEMUS	尼哥底母
NICOLAS	尼哥拉
NEDABIAH	尼大比雅
NEHUM	尼安
NEBUZARADAN	尼布撒拉旦
NEBUSHASBAN	尼布沙斯班
NEBUCHADNEZZAR	尼布甲尼撒
NEHEMIAH	尼希米
NEBAI	尼拜
NEBAJOTH	尼拜約
NETHANIAH	尼探雅
NEPHEG	尼斐
NEPHUSIM	尼普心
NEMUEL	尼母利
NER	尼珥
NERGAL-SHAREZER	尼甲沙利薛
NEZIAH	尼細亞
NIGER	尼結
NEHUSHTA	尼護施他
NICANOR	尼迦挪
QUIRINIUS	居里扭
BARIAH	巴利亞
BAALIS	巴利斯
BAAL	巴力
BALAK	巴勒
BAAL-HANAN	巴勒哈南
BAKBUK	巴卜
PAHATH-MOAB	巴哈摩押
BARTHOLOMEW	巴多羅買
BASHEMATH	巴實抹
BANI	巴尼
BARTlMAEUS	巴底買
BARAK	巴拉
