OGNTsort	OGNTa	RMAC
009830	ἀποκριθεὶς	V-AOP-NSM
009893	ἐφοβήθησαν	V-AOI-3P
009906	φοβεῖσθε	V-PNM-2P
009925	ἐνετείλατο	V-ADI-3S
009961	ἀποκριθεὶς	V-AOP-NSM
009965	ἔρχεται	V-PNI-3S
010025	σεληνιάζεται	V-PNI-3S
010048	ἠδυνήθησαν	V-AOI-3P
010051	Ἀποκριθεὶς	V-AOP-NSM
010065	ἔσομαι	V-FDI-1S
010068	ἀνέξομαι	V-FDI-1S
010106	ἠδυνήθημεν	V-AOI-1P
010135	μεταβήσεται	V-FDI-3S
010245	πορευθεὶς	V-AOP-NSM
010291	προσκαλεσάμενος	V-ADP-NSM
010339	δέξηται	V-ADS-3S
010348	δέχεται	V-PNI-3S
010397	ἔρχεται	V-PNI-3S
010519	πορευθεὶς	V-AOP-NSM
010635	ἔσται	V-FDI-3S
010646	ἔσται	V-FDI-3S
010669	γενήσεται	V-FDI-3S
010789	Σπλαγχνισθεὶς	V-AOP-NSM
010874	προσκαλεσάμενος	V-ADP-NSM
010991	ἀποκριθεὶς	V-AOP-NSM
011022	ἔσονται	V-FDI-3P
011048	ἐνετείλατο	V-ADI-3S
011091	μοιχᾶται	V-PNI-3S
011152	δυνάμενος	V-PNP-NSM
011165	προσεύξηται	V-ADS-3S
011198	ἐπορεύθη	V-AOI-3S
011329	εἰσελεύσεται	V-FDI-3S
011363	δύναται	V-PNI-3S
011382	ἀποκριθεὶς	V-AOP-NSM
011396	ἔσται	V-FDI-3S
011424	καθήσεσθε	V-FDI-2P
011458	λήμψεται	V-FDI-3S
011465	ἔσονται	V-FDI-3P
011621	λήμψονται	V-FDI-3P
011658	ἀποκριθεὶς	V-AOP-NSM
011705	ἔσονται	V-FDI-3P
011813	Ἀποκριθεὶς	V-AOP-NSM
011822	δύνασθε	V-PNI-2P
011832	Δυνάμεθα	V-PNI-1P
011839	πίεσθε	V-FDI-2P
011873	προσκαλεσάμενος	V-ADP-NSM
011891	ἔσται	V-FDI-3S
011902	ἔσται	V-FDI-3S
011913	ἔσται	V-FDI-3S
011935	ἐκπορευομένων	V-PNP-GPM
011947	καθήμενοι	V-PNP-NPM
011999	Σπλαγχνισθεὶς	V-AOP-NSM
012003	ἥψατο	V-ADI-3S
012034	Πορεύεσθε	V-PNM-2P
012089	ἔρχεταί	V-PNI-3S
012101	Πορευθέντες	V-AOP-NPM
012168	ἐρχόμενος	V-PNP-NSM
012319	ηὐλίσθη	V-AOI-3S
012374	Ἀποκριθεὶς	V-AOP-NSM
012407	γενήσεται	V-FDI-3S
012417	λήμψεσθε	V-FDI-2P
012447	Ἀποκριθεὶς	V-AOP-NSM
012483	διελογίζοντο	V-INI-3P
012504	φοβούμεθα	V-PNI-1P
012515	ἀποκριθέντες	V-AOP-NPM
012550	ἐργάζου	V-PNM-2S
012556	ἀποκριθεὶς	V-AOP-NSM
012562	μεταμεληθεὶς	V-AOP-NSM
012572	ἀποκριθεὶς	V-AOP-NSM
012635	μετεμελήθητε	V-AOI-2P
012776	ἐκδώσεται	V-FDI-3S
012870	ἐφοβήθησαν	V-AOI-3P
012879	ἀποκριθεὶς	V-AOP-NSM
013003	πορεύεσθε	V-PNM-2P
013038	ἀνακειμένων	V-PNP-GPM
013043	θεάσασθαι	V-ADN
013045	ἀνακειμένους	V-PNP-APM
013086	ἔσται	V-FDI-3S
013102	πορευθέντες	V-AOP-NPM
013298	ἔσται	V-FDI-3S
013304	Ἀποκριθεὶς	V-AOP-NSM
013499	Κάθου	V-PNM-2S
013525	ἐδύνατο	V-INI-3S
013526	ἀποκριθῆναι	V-AON
013694	ἔσται	V-FDI-3S
013726	εἰσέρχεσθε	V-PNI-2P
013729	εἰσερχομένους	V-PNP-APM
013874	καθημένῳ	V-PNP-DSM
014190	ἐρχόμενος	V-PNP-NSM
014201	ἐπορεύετο	V-INI-3S
014215	ἀποκριθεὶς	V-AOP-NSM
014235	Καθημένου	V-PNP-GSM
014254	ἔσται	V-FDI-3S
014267	ἀποκριθεὶς	V-AOP-NSM
014279	ἐλεύσονται	V-FDI-3P
014320	ἔσονται	V-FDI-3P
014340	ἔσεσθε	V-FDI-2P
014472	προσεύχεσθε	V-PNM-2P
014483	ἔσται	V-FDI-3S
014576	ἐξέρχεται	V-PNI-3S
014584	ἔσται	V-FDI-3S
014622	πεσοῦνται	V-FNI-3P
014645	κόψονται	V-FDI-3P
014652	ὄψονται	V-FDI-3P
014657	ἐρχόμενον	V-PNP-ASM
014748	παρελεύσεται	V-FDI-3S
014785	ἔσται	V-FDI-3S
014828	ἔσται	V-FDI-3S
014838	ἔσονται	V-FDI-3P
014867	ἔρχεται	V-PNI-3S
014880	ἔρχεται	V-PNI-3S
014895	γίνεσθε	V-PNM-2P
014906	ἔρχεται	V-PNI-3S
015010	ἔσται	V-FDI-3S
015085	ἐξέρχεσθε	V-PNM-2P
015117	Ἀπεκρίθησαν	V-ADI-3P
015129	πορεύεσθε	V-PNM-2P
015137	Ἀπερχομένων	V-PNP-GPF
015159	ἔρχονται	V-PNI-3P
015171	ἀποκριθεὶς	V-AOP-NSM
015223	Πορευθεὶς	V-AOP-NSM
015229	ἠργάσατο	V-ADI-3S
015262	ἔρχεται	V-PNI-3S
015389	φοβηθεὶς	V-AOP-NSM
015402	Ἀποκριθεὶς	V-AOP-NSM
015483	ἔσται	V-FDI-3S
015601	ἀποκριθήσονται	V-FOI-3P
015641	ἀποκριθεὶς	V-AOP-NSM
015667	Πορεύεσθε	V-PNM-2P
015717	ἀποκριθήσονται	V-FOI-3P
015742	ἀποκριθήσεται	V-FOI-3S
015760	ἀπελεύσονται	V-FDI-3P
015792	γίνεται	V-PNI-3S
015865	ἀνακειμένου	V-PNP-GSM
015877	ἐδύνατο	V-INI-3S
015899	ἠργάσατο	V-ADI-3S
015951	πορευθεὶς	V-AOP-NSM
016049	ἀνέκειτο	V-INI-3S
016069	ἤρξαντο	V-ADI-3P
016080	ἀποκριθεὶς	V-AOP-NSM
016125	Ἀποκριθεὶς	V-AOP-NSM
016262	Ἀποκριθεὶς	V-AOP-NSM
016292	ἀπαρνήσῃ	V-FDI-2S
016307	ἀπαρνήσομαι	V-FDI-1S
016315	ἔρχεται	V-PNI-3S
016334	προσεύξωμαι	V-ADS-1S
016344	ἤρξατο	V-ADI-3S
016371	προσευχόμενος	V-PNP-NSM
016394	ἔρχεται	V-PNI-3S
016416	προσεύχεσθε	V-PNM-2P
016434	προσηύξατο	V-ADI-3S
016440	δύναται	V-PNI-3S
016447	γενηθήτω	V-AOM-3S
016468	προσηύξατο	V-ADI-3S
016477	ἔρχεται	V-PNI-3S
016629	δύναμαι	V-PNI-1S
016675	ἐκαθεζόμην	V-INI-1S
016730	ἐκάθητο	V-INI-3S
016765	Δύναμαι	V-PNI-1S
016783	ἀποκρίνῃ	V-PNI-2S
016827	ὄψεσθε	V-FDI-2P
016832	καθήμενον	V-PNP-ASM
016838	ἐρχόμενον	V-PNP-ASM
016868	ἀποκριθέντες	V-AOP-NPM
016897	ἐκάθητο	V-INI-3S
016917	ἠρνήσατο	V-ADI-3S
016945	ἠρνήσατο	V-ADI-3S
016977	ἤρξατο	V-ADI-3S
017003	ἀπαρνήσῃ	V-FDI-2S
017046	μεταμεληθεὶς	V-AOP-NSM
017067	ὄψῃ	V-FDI-2S
017192	ἀπεκρίνατο	V-ADI-3S
017205	ἀπεκρίθη	V-ADI-3S
017263	Καθημένου	V-PNP-GSM
017307	Ἀποκριθεὶς	V-AOP-NSM
017362	γίνεται	V-PNI-3S
017379	ὄψεσθε	V-FDI-2P
017381	ἀποκριθεὶς	V-AOP-NSM
017492	Ἐξερχόμενοι	V-PNP-NPM
017525	γευσάμενος	V-ADP-NSM
017539	καθήμενοι	V-PNP-NPM
017575	παραπορευόμενοι	V-PNP-NPM
017620	δύναται	V-PNI-3S
017638	ῥυσάσθω	V-ADM-3S
017733	ἔρχεται	V-PNI-3S
017812	ἐφοβήθησαν	V-AOI-3P
017930	καθήμεναι	V-PNP-NPF
017989	ἔσται	V-FDI-3S
018003	ἀσφαλίσασθε	V-ADM-2P
018008	πορευθέντες	V-AOP-NPM
018009	ἠσφαλίσαντο	V-ADI-3P
018054	ἐκάθητο	V-INI-3S
